Station,Station Name,Station - ST_CEN_CD,Station - DT_CEN_CD,Station - censuscode,Station - RegionId,Scale,Units,2007,2008,2009,2010,2011,2012,2013
IN-OR-DH,Dhenkanal,21,14,383,IN-OR-DH,units,μg/m3,33.13369075,36.76274883,36.18005305,34.67241055,34.38230924,32.6670636,36.03404184
IN-OR-GA,Gajapati,21,20,389,IN-OR-GA,units,μg/m3,26.60791724,28.22686345,27.40377846,26.16251769,26.76653436,25.95296441,28.16041849
IN-OR-GM,Ganjam,21,19,388,IN-OR-GM,units,μg/m3,28.70104324,30.8330105,30.16466535,28.84093747,29.34255121,28.23993142,30.7254061
IN-OR-JH,Jharsuguda,21,2,371,IN-OR-JH,units,μg/m3,36.69200775,42.13646904,41.95916301,37.37013025,39.33634206,37.21403154,40.42648311
IN-OR-KA,Kalahandi,21,26,395,IN-OR-KA,units,μg/m3,29.75528192,35.46262902,32.17187061,29.73891415,30.11869577,29.89196755,31.98784427
IN-OR-KL,Kandhamal,21,21,390,IN-OR-KL,units,μg/m3,28.05505422,31.27211083,29.73831545,28.50120067,28.49517386,28.05384374,29.63149666
IN-OR-KR,Kendujhar,21,6,375,IN-OR-KR,units,μg/m3,33.61314552,38.00740483,37.32315688,35.94436093,36.32786232,34.16657543,36.30819582
IN-OR-KO,Koraput,21,29,398,IN-OR-KO,units,μg/m3,25.12293999,28.661671,27.17291946,24.90272381,25.50750475,25.49869174,27.06773604
IN-OR-MA,Malkangiri,21,30,399,IN-OR-MA,units,μg/m3,25.8345649,29.23807046,28.1822237,25.84404132,26.27541937,26.45462684,28.67633606
IN-OR-MJ,Mayurbhanj,21,7,376,IN-OR-MJ,units,μg/m3,35.8681185,39.43769761,39.8339316,38.96969389,38.20210864,36.51176582,39.1283048
IN-OR-NA,Nabarangapur,21,28,397,IN-OR-NA,units,μg/m3,28.95727191,34.6626969,32.09877034,29.29174911,29.79328197,30.31559798,32.60630118
IN-OR-NU,Nuapada,21,25,394,IN-OR-NU,units,μg/m3,34.35334524,42.37788358,38.16798981,35.10812261,34.95658872,35.73924214,38.62170402
IN-OR-RA,Rayagada,21,27,396,IN-OR-RA,units,μg/m3,26.3313698,29.4412011,27.94149374,26.53819799,26.83127849,26.43100154,28.02262945
IN-OR-SA,Sambalpur,21,3,372,IN-OR-SA,units,μg/m3,35.21205775,39.91165219,39.40062836,35.95478553,36.96287424,35.42847182,37.83069762
IN-OR-SU,Sundargarh,21,5,374,IN-OR-SU,units,μg/m3,36.56110123,43.03721387,41.53655179,37.49844686,39.51542902,37.12391031,40.07934224
IN-OR-SR,Subarnapur,21,23,392,IN-OR-SR,units,μg/m3,34.97994877,38.67561671,37.91125404,35.34658864,35.62548216,34.48154344,37.56026298
IN-WB-SO,South 24 Parganas,19,17,343,IN-WB-SO,units,μg/m3,35.56416052,37.48048583,41.9823542,37.88308457,36.62899068,40.0094659,38.28151734
IN-WB-UD,Uttar Dinajpur,19,4,330,IN-WB-UD,units,μg/m3,48.5576268,50.79298358,56.75475828,54.5440487,51.19348262,62.16227753,51.09002264
IN-WB-PU,Puruliya,19,14,340,IN-WB-PU,units,μg/m3,44.34813767,49.2363868,49.84609361,47.4123645,46.62104249,46.24826549,50.5516831
IN-WB-PR,Purba Medinipur,19,19,345,IN-WB-PR,units,μg/m3,36.15620312,38.85222847,41.99063232,39.13358056,37.05674816,39.21592201,40.12810142
IN-WB-MI,Pashchim Medinipur,19,18,344,IN-WB-PM,units,μg/m3,38.76715628,42.2756069,43.77070373,42.61382826,40.23364288,40.76484707,43.65771766
IN-WB-MU,Murshidabad,19,7,333,IN-WB-MU,units,μg/m3,46.32211222,50.45750623,54.26854734,53.4304793,48.91507922,53.63586121,52.66235842
IN-WB-MA,Maldah,19,6,332,IN-WB-MA,units,μg/m3,50.66672092,53.85605867,59.85870934,58.82724178,54.18574345,62.53497733,56.33853354
IN-WB-JA,Jalpaiguri,19,2,328,IN-WB-JA,units,μg/m3,40.35574506,41.16591698,48.89522008,42.04705788,40.39937117,50.6268229,43.54223001
IN-WB-DD,Dakshin Dinajpur,19,5,331,IN-WB-DD,units,μg/m3,50.21670338,52.31955459,60.31053062,56.60181816,54.17998064,64.58047968,54.14807621
IN-WB-BI,Birbhum,19,8,334,IN-WB-BI,units,μg/m3,43.55008018,48.14307938,50.47218004,49.92742661,46.045183,48.16879416,50.84275572
IN-WB-BA,Bankura,19,13,339,IN-WB-BA,units,μg/m3,42.81808806,45.58254143,47.85857775,46.93328774,44.14098887,44.5770466,48.26625266
,,,,,,,,,,,,,,
Source:,"Dalhouise University, Canada",,,,,,,,,,,,,
Download URL:,http://knoema.com/vamnjtf/pm2-5-pollution-trends-in-indian-districts-1998-to-2014,,,,,,,,,,,,,
