State,Districts,Annual Allocation - 2006-07,Funds Released - 2006-07,Annual Allocation - 2007-08,Funds Released - 2007-08,Annual Allocation - 2008-09,Funds Released - 2008-09,Annual Allocation - 2009-10,Funds Released - 2009-10,Annual Allocation - 2010-11,Funds Released - 2010-11,Annual Allocation - 2011-12,Funds Released - 2011-12,Annual Allocation - 2012-13,Funds Released - 2012-13,Annual Allocation - 2013-14,Funds Released - 2013-14,Total Funds Released from 2006-07 to 2013-14
Jharkhand,Latehar,12.03,0,13.94,0.1,13.94,12.54,13.94,7.62,13.94,13.94,14.73,10.79,14.73,6.01,18.05,0,51
Jharkhand,Lohardagga,10.95,0,11.83,0.1,11.83,10.65,11.83,9.03,11.83,11.83,12.2,5.19,12.2,3.87,14.98,0,40.67
Jharkhand,Pakur ,11.46,0,12.81,0.1,12.81,11.53,12.81,8.94,12.81,12.81,13.37,8.07,13.37,7.45,16.4,0,48.9
Jharkhand,Palamu,13.99,0,17.69,0.1,17.69,15.92,17.69,9.87,17.69,17.69,19.24,9.1,19.24,0,23.6,0,52.68
Jharkhand,Ramgarh,0,0,0,0,0,0,0,0,0,0,0,0,13.77,10.38,16.89,0,10.38
Jharkhand,Ranchi,15.93,0,21.42,0.1,21.42,19.27,21.42,15.19,21.42,21.42,23.73,15.11,19.13,11.55,23.45,0,82.64
Jharkhand,Sahebganj,11.85,0,13.56,0.1,13.56,12.2,13.56,10.13,13.56,13.56,14.28,12.79,14.28,7.9,17.51,0,56.68
Jharkhand,Saraikela Kharswan,11.75,0,13.38,0.1,13.38,12.04,13.38,9.71,13.38,13.38,14.06,9.69,14.06,0,17.24,14.21,59.13
Jharkhand,Simdega,11.83,0,13.55,0.1,13.55,12.19,13.55,7.48,13.55,13.55,14.27,6.67,14.27,7.76,17.5,0,47.75
Jharkhand,West Singhbhum,14.96,0,19.57,0.1,19.57,17.61,19.57,14.95,19.57,19.57,21.5,8.75,21.5,5.63,26.37,0,66.61
Jharkhand,Total (Development Grant),268.39,0,322.56,2.1,322.56,290.27,322.56,209.18,322.56,322.56,345.31,183.6,365.16,166.6,447.89,40.85,1215.16
Jharkhand,Capacity Building ,21,0,21,21,21,0,21,0,21,8.46,21,0,23,0,23,0,29.46
Jharkhand,Grand Total (DG +CB),289.39,0,343.56,23.1,343.56,290.27,343.56,209.18,343.56,331.02,366.31,183.6,388.16,166.6,470.89,40.85,1244.62
Karnataka,Bidar,13.68,0,17.11,17.21,17.11,0,17.11,15.4,17.11,18.82,18.54,15.81,18.54,21.17,22.75,13.04,101.45
Karnataka,Chitradurga,15.28,0,20.21,18.29,20.21,0,20.21,20.21,20.21,22.23,22.27,17.45,22.27,22.27,27.33,23.78,124.23
